Bạn đang ở loại hình nào? ,"Số người ở trong phòng là bao nhiêu? (Số)
","Diện tích phòng của bạn là bao nhiêu m^2? (Điền số)
",  Phòng của bạn nằm ở tầng mấy?  ,  Phòng có bị nắng chiếu trực tiếp nhiều không?  ,  Phòng có cửa sổ/ban công thông thoáng không?  ,Phòng bạn có máy lạnh không?  ,"Nếu có, phòng bạn có bao nhiêu máy lạnh?  ",  Bạn thường để máy lạnh ở mức nhiệt độ bao nhiêu?  ,  Trung bình mỗi ngày bạn bật máy lạnh bao nhiêu giờ?  ,Phòng bạn có bao nhiêu quạt?  (số),  Trung bình mỗi ngày bạn bật quạt bao nhiêu giờ?  ,  Phòng bạn có tủ lạnh không?  ,Phòng bạn có sử dụng bếp điện/bếp từ/nồi cơm điện không? ,  Phòng bạn có máy giặt không?  ,  Trung bình một tuần bạn giặt máy bao nhiêu lần?  ,  Phòng bạn có bình nóng lạnh/máy nước nóng không?  ,  Trung bình mỗi ngày dùng bình nóng lạnh bao lâu?  ,  Bạn có sử dụng máy tính bàn/laptop thường xuyên không?  ,  Các thiết bị khác bạn đang sử dụng  ,  Bạn thường ở phòng vào thời gian nào trong ngày?  ,Trung bình mỗi ngày bạn ở phòng khoảng bao nhiêu giờ?  ,Bạn có thường xuyên học/làm việc online tại phòng không?  ,Bạn có thói quen tắt thiết bị điện khi không sử dụng không?  ,Mức độ sử dụng điện của bạn vào mùa nóng so với bình thường  ,Tiền điện tháng gần nhất của phòng bạn là bao nhiêu?  (VND/tháng),  Số kWh điện tháng gần nhất là bao nhiêu? (kWh) (Không biết có thể bỏ qua),  Giá điện bạn đang trả là bao nhiêu tiền/kWh?  ,Công tơ điện của bạn là loại nào?  , Tiền điện này là của tháng nào?  ,"  Trong tháng đó, bạn có ở phòng đủ cả tháng không?  "
Ký túc xá,4,30,Tầng 3,Không,Rất thông thoáng,Không,1,Không dùng máy lạnh,0 giờ,1,6–8 giờ,Không,"Có, nhưng ít",Không,0 lần,Không,Không dùng,2–4 giờ/ngày,Đèn LED,Chủ yếu buổi tối,4–8 giờ,Thỉnh thoảng,Luôn luôn,Tăng nhẹ,250000,70,Dưới 3.000đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,1,22,Tầng 4 trở lên,Có,Rất thông thoáng,Có,1,Dưới 24°C,Trên 8 giờ,1,4–6 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Lò vi sóng, Nồi chiên không dầu",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Thường xuyên,Tăng rất nhiều,"1,450,000",320,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,20,Tầng trệt,Không,Có nhưng ít thông thoáng,Không,0,Không dùng máy lạnh,0 giờ,2,Trên 8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,"Đèn LED, Tivi",Chủ yếu buổi tối,4–8 giờ,Không,Thỉnh thoảng,Tăng nhẹ,510000,120,3.000–3.500đ/kWh,Công tơ chung với phòng khác,Tháng 3,Có
Chung cư,2,45,Tầng 4 trở lên,Có,Rất thông thoáng,Có,2,24–26°C,6–8 giờ,3,6–8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,30–60 phút,Trên 6 giờ/ngày,"Đèn LED, Tivi, Máy sấy tóc, Ấm siêu tốc",Cả ngày,12–16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng nhiều,2100000,450,Trên 4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Nhà nguyên căn,5,60,Tầng 1,Có,"Có, thông thoáng bình thường",Có,2,27–28°C,4–6 giờ,4,Trên 8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,5 lần trở lên,Có,Trên 60 phút,2–4 giờ/ngày,"Đèn LED, Tivi, Loa",Không cố định,12–16 giờ,Thường xuyên,Thường xuyên,Tăng nhiều,2600000,580,3.500–4.000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,14,Tầng 2,Có,Có nhưng ít thông thoáng,Có,1,24–26°C,4–6 giờ,1,Trên 8 giờ,Có tủ lạnh mini,Không sử dụng,Không,0 lần,Không,Không dùng,Trên 6 giờ/ngày,Đèn LED,Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng nhiều,760000,165,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,6,35,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0 giờ,4,Trên 8 giờ,Không,Không sử dụng,Không,0 lần,Không,Không dùng,2–4 giờ/ngày,Đèn LED,Chủ yếu buổi tối,4–8 giờ,Thỉnh thoảng,Thường xuyên,Không thay đổi,320000,90,Dưới 3.000đ/kWh,Công tơ chung với phòng khác,Tháng 4,Có
Căn hộ mini,2,28,Tầng 3,Có,Rất thông thoáng,Có,1,Dưới 24°C,6–8 giờ,2,6–8 giờ,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Có,1–2 lần,Có,15–30 phút,4–6 giờ/ngày,"Đèn LED, Lò vi sóng, Ấm siêu tốc",Cả ngày,12–16 giờ,Gần như mỗi ngày,Thường xuyên,Tăng rất nhiều,1320000,295,4.000–4.500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,16,Tầng 1,Không,Không có,Không,0,Không dùng máy lạnh,0 giờ,1,Trên 8 giờ,Có tủ lạnh mini,"Có, nhưng ít",Không,0 lần,Không,Không dùng,Dùng dưới 2 giờ/ngày,Đèn LED,Chủ yếu buổi tối,4–8 giờ,Không,Hiếm khi,Tăng nhẹ,430000,98,3.500–4.000đ/kWh,Công tơ chung với phòng khác,Tháng 3,Có
Chung cư,3,55,Tầng 4 trở lên,Có,Rất thông thoáng,Có,2,24–26°C,Trên 8 giờ,3,6–8 giờ,Có tủ lạnh lớn,"Có, sử dụng thường xuyên",Có,3–4 lần,Có,Trên 60 phút,Trên 6 giờ/ngày,"Đèn LED, Tivi, Lò vi sóng, Nồi chiên không dầu",Cả ngày,Trên 16 giờ,Gần như mỗi ngày,Luôn luôn,Tăng rất nhiều,2800000,610,Trên 4.500đ/kWh,Công tơ riêng,Tháng 4,Có
